U,I
0.0034,0.03
0.0292,0.26
0.0765,0.71
0.2230,2.04
0.2722,2.48
0.2312,2.16
0.3082,2.84
0.3209,2.93
0.3991,3.65
0.4773,4.37
0.4344,3.96
0.5695,5.22
0.5642,5.16
0.6792,6.21
0.6026,5.52
0.7569,6.92
0.8380,7.67
